运动户外>健身训练>美腰机/挺腰器,1318>1463>s8151,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>美腰机/挺腰器,50010728>50038418>50038433
家具>卧室家具>衣柜,9847>9848>11972,全屋定制>整体衣柜>走入式衣柜,55752011>55856005>55878005
家具>卧室家具>衣柜,9847>9848>11972,全屋定制>整体衣柜>整体衣帽间,55752011>55856005>55872004
鞋靴>流行男鞋>豆豆鞋,11729>11730>s4978,流行男鞋>新品>新品豆豆鞋,50026637>53406005>53410006
数码>平板电脑配件>平板电脑充电器,652>s1570>s2834,3C数码配件>平板电脑配件>平板电脑充电器,50024407>50330029>55348007
服饰内衣>女装>皮草,1315>1343>11993,女装/女士精品>皮草>皮草,16>50096877>50016775
服饰内衣>女装>皮草,1315>1343>11993,品牌女装>皮草>短款皮草,50025135>50064676>52338006
服饰内衣>女装>皮草,1315>1343>11993,品牌女装>皮草>奢华皮草,50025135>50064676>55880007
服饰内衣>女装>皮草,1315>1343>11993,品牌女装>皮草>中长款皮草,50025135>50064676>52278006
服饰内衣>女装>皮草,1315>1343>11993,品牌女装>皮草>常规款皮草,50025135>50064676>52304006
服饰内衣>女装>皮草,1315>1343>11993,女装/女士精品>皮草>长款皮草,16>50096877>50095444
服饰内衣>女装>皮草,1315>1343>11993,女装/女士精品>皮草>短款皮草,16>50096877>50095443
服饰内衣>女装>皮草,1315>1343>11993,女装/女士精品>皮草>无袖皮草,16>50096877>50095445
服饰内衣>女装>皮草,1315>1343>11993,天猫国际>女装>皮衣/皮草,52792006>55898015>55898016
服饰内衣>女装>皮草,1315>1343>11993,品牌女装>皮草>2016年新款,50025135>50064676>54876001
服饰内衣>女装>皮草,1315>1343>11993,品牌女装>皮草>商场同款,50025135>50064676>54874002
服饰内衣>女装>皮草,1315>1343>11993,品牌女装>2016当季新品>皮草,50025135>51260020>51258015
服饰内衣>女装>皮草,1315>1343>11993,导航平台>女士服饰>皮草,50041194>52502003>52504003
服饰内衣>女装>皮草,1315>1343>11993,导航平台>中老年女士服饰>皮草,50041194>52062001>52492010
服饰内衣>女装>皮草,1315>1343>11993,品牌女装>设计师原创品牌>原创皮草,50025135>53330001>53328004
宠物生活>洗护美容>其他美容清洁用品,6994>7001>s9096,宠物/宠物食品及用品>猫/狗清洁用品>其他美容清洁用品,29>50071276>50071293
医药保健>保健器械>计步器/脂肪检测仪,9192>9197>13787,保健滋补医药器械>保健用品>计步器,50106154>56594013>56582016
医药保健>保健器械>计步器/脂肪检测仪,9192>9197>13787,保健食品/膳食营养补充食品>营养与保健>脂肪酸/脂类,50072043>57056001>57062001
医药保健>保健器械>计步器/脂肪检测仪,9192>9197>13787,导航平台>特需保健>电子计步器,50041194>52496004>52478006
医药保健>保健器械>计步器/脂肪检测仪,9192>9197>13787,家用器械/按摩器材/可穿戴设备>可穿戴设备>计步器,53314009>53738001>53744001
医药保健>保健器械>计步器/脂肪检测仪,9192>9197>13787,导航平台>中老年特需保健>电子计步器,50041194>52068001>52586009
运动户外>健身训练>综合训练器,1318>1463>12109,运动用品/瑜伽/球类/健身>健身器材>力量训练器,50043669>55818022>50104421
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>伸腿训练器,50010728>50038445>50049207
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>转体训练器,50010728>50038445>50049194
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>平推训练器,50010728>50038445>50049201
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>背肌训练器,50010728>50038445>50049203
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>倒蹬训练器,50010728>50038445>50049205
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>深蹲训练器,50010728>50038445>50049204
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>提踵训练器,50010728>50038445>50049208
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>平蹬训练器,50010728>50038445>50049206
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>肩肌训练器,50010728>50038445>50049202
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>力量训练器械,50010728>50038445>50038450
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>大飞鸟训练器,50010728>50038445>50049193
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>坐姿推胸训练器,50010728>50038445>50049196
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>坐姿下拉训练器,50010728>50038445>50049197
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>肩部推举训练器,50010728>50038445>50049198
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>坐式划船训练器,50010728>50038445>50049195
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>力量训练器械(综合型),50010728>50038445>50049215
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>内/外夹腿训练器,50010728>50038445>50049210
运动户外>健身训练>综合训练器,1318>1463>12109,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>美腿机/腿部训练器,50010728>50038418>50038434
家用电器>生活电器>其它生活电器,737>738>825,生活电器>其它生活家电>其它日用家电,50902003>50918013>50914025
家用电器>生活电器>其它生活电器,737>738>825,生活电器>其它生活家电>干手器,50902003>50918013>50940013
家用电器>生活电器>其它生活电器,737>738>825,生活电器>其它生活家电>缝纫机,50902003>50918013>50920019
家用电器>生活电器>其它生活电器,737>738>825,生活电器>其它生活家电>加香机,50902003>50918013>50930017
家用电器>生活电器>其它生活电器,737>738>825,生活电器>其它生活家电>充气泵,50902003>50918013>50934019
家用电器>生活电器>其它生活电器,737>738>825,天猫国际>家电数码>生活电器,52792006>56426022>56464037
家用电器>生活电器>其它生活电器,737>738>825,天猫超市>家用电器>生活小家电,50514008>50516009>50502015
家用电器>生活电器>其它生活电器,737>738>825,天猫超市>家用电器>个人护理小家电,50514008>50516009>50516021
家用电器>生活电器>其它生活电器,737>738>825,电子/电工>继电器>固态继电器,50066173>50066203>50066205
美妆个护>口腔护理>牙刷/牙线,1316>1384>1406,天猫超市>个人洗护/口腔护理>牙膏/牙刷/漱口水/牙线,50514008>50516007>52552016
美妆个护>口腔护理>牙刷/牙线,1316>1384>1406,个人护理清洁>配件专区>口腔护理配件,50019142>50019196>50608006
美妆个护>口腔护理>牙刷/牙线,1316>1384>1406,个人护理清洁>配件专区>电动牙刷配件,50019142>50019196>50019203
美妆个护>口腔护理>牙刷/牙线,1316>1384>1406,孕妇装/孕妈用品专区>产妇帽/牙刷>月子牙刷,50029253>50350011>50096676
美妆个护>口腔护理>牙刷/牙线,1316>1384>1406,天猫国际>宝宝用品>牙胶/牙刷/牙膏,52792006>56554043>56078005
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>美容剪,29>50071294>50071302
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>美容台,29>50071294>50071317
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>美容服,29>50071294>50071299
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>其他美容清洁用品,29>50071294>50071308
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>宠物鞋裤帽挂牌等配件>宠物指甲套,29>50001739>50041592
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物食品及用品>猫/狗清洁美容>更多清洁美容,50034368>50043502>50043511
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物食品及用品>猫/狗清洁美容>美容护理相关,50034368>50043502>50097525
宠物生活>洗护美容>美容用具,6994>7001>7037,音乐/影视/明星>生活百科>美容美发,50021872>50022636>50044335
宠物生活>洗护美容>美容用具,6994>7001>7037,家装主材>置物架/五金>美容镜,27>50003271>50005784
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物食品及用品>猫/狗清洁美容>水池/浴池,50034368>50043502>50043507
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物食品及用品>猫/狗清洁美容>梳子/按摩刷/粘毛器,50034368>50043502>50043504
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物食品及用品>猫/狗清洁美容>吹风机/吹水机,50034368>50043502>50097524
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物食品及用品>猫/狗清洁美容>指甲剪/毛发剪,50034368>50043502>50043505
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>电推剪,29>50071294>50071303
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>毛巾/浴巾/吸水毛巾,29>50071294>50071298
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>吹风机,29>50071294>50071301
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>止血粉,29>50071294>50071316
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>吹水机,29>50071294>50071300
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>针梳,29>50071294>50071307
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>排梳,29>50071294>50071306
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>香水/除味剂,29>50071294>50071296
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>指甲剪,29>50071294>50071304
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>脚掌滋润/防滑/护理,29>50071294>50071305
宠物生活>洗护美容>美容用具,6994>7001>7037,宠物/宠物食品及用品>猫/狗梳理美容>洗澡/按摩刷,29>50071294>50071297
食品饮料>休闲食品>肉干肉脯,1320>1583>1592,导航平台>中老年食品>牛肉干/猪肉脯/肉类熟食,50041194>52066001>52508016
食品饮料>休闲食品>肉干肉脯,1320>1583>1592,零食/坚果/特产>肉干/肉脯/豆干/肉类>猪肉类,50002766>50008613>50009866
食品饮料>休闲食品>肉干肉脯,1320>1583>1592,零食/坚果/特产>肉干/肉脯/豆干/肉类>猪肉脯,50002766>50008613>50008614
家用电器>五金家装>插座,737>1277>6977,电子/电工>插座>电视插座,50066173>50066174>50066177
家用电器>五金家装>插座,737>1277>6977,电子/电工>插座>电话插座,50066173>50066174>50066178
家用电器>五金家装>插座,737>1277>6977,电子/电工>插座>电源插座,50066173>50066174>50031187
家用电器>五金家装>插座,737>1277>6977,电子/电工>插座>音频插座,50066173>50066174>50066179
家用电器>五金家装>插座,737>1277>6977,电子/电工>插座>带开关插座,50066173>50066174>50066180
家用电器>五金家装>插座,737>1277>6977,电子/电工>插座>地插,50066173>50066174>50066184
珠宝首饰>钻石>钻戒,6144>6160>6162,导航平台>新人装扮/婚庆服务/婚庆用品>钻戒,50041194>51538082>51576081
美妆个护>洗发护发>护发,1316>1386>11923,天猫国际>洗发护发烫染>护发,52792006>55930001>55916004
美妆个护>洗发护发>护发,1316>1386>11923,美发护发/假发>其它美发护发产品>其它洗发护发产品,50071436>50071675>50071696
美妆个护>洗发护发>护发,1316>1386>11923,美发护发/假发>其它美发护发产品>定型喷雾,50071436>50071675>50071693
美妆个护>洗发护发>护发,1316>1386>11923,美发护发/假发>其它美发护发产品>发乳,50071436>50071675>50071695
美妆个护>洗发护发>护发,1316>1386>11923,美发护发/假发>其它美发护发产品>其它染发烫发产品,50071436>50071675>50071698
美妆个护>洗发护发>护发,1316>1386>11923,美发护发/假发>其它美发护发产品>定型啫喱,50071436>50071675>50071694
美妆个护>洗发护发>护发,1316>1386>11923,孕妇装/孕妈用品专区>孕妈头部洗护>洗发护发套装,50029253>53866002>53892001
美妆个护>洗发护发>护发,1316>1386>11923,天猫国际>洗发护发烫染>其他美发产品,52792006>55930001>55976001
美妆个护>洗发护发>护发,1316>1386>11923,天猫超市>进口商品>进口洗发护发,50514008>51454011>51452020
美妆个护>洗发护发>护发,1316>1386>11923,天猫国际>宝宝洗护>洗发水/护发素,52792006>56560036>56076006
家居家纺>家纺>毯子,1620>1621>1630,家纺/床上用品>儿童床品>儿童毯子,50024531>50024935>54936013
母婴>妈妈专区>防溢乳垫,1319>4997>13292,孕妇装/孕产妇用品/营养>防溢乳垫/乳房保养>防溢乳垫,50067081>50067084>50006014
母婴>妈妈专区>防溢乳垫,1319>4997>13292,孕妇装/孕产妇用品/营养>防溢乳垫/乳房保养>乳房冷热敷,50067081>50067084>50018342
母婴>妈妈专区>防溢乳垫,1319>4997>13292,孕妇装/孕产妇用品/营养>防溢乳垫/乳房保养>乳头保护罩,50067081>50067084>50006013
母婴>妈妈专区>防溢乳垫,1319>4997>13292,孕妇装/孕产妇用品/营养>防溢乳垫/乳房保养>乳头矫正,50067081>50067084>50018126
家具>餐厅家具>餐桌,9847>9850>9877,住宅家具/办公家具>餐厅>餐桌,50030787>50096397>50096400
家具>餐厅家具>餐桌,9847>9850>9877,住宅家具/办公家具>桌类>餐桌,50030787>50030801>50030861
宠物生活>水族>过滤器材,6994>13968>13971,宠物/宠物食品及用品>鱼类及其用品>过滤设备,29>50070935>50070941
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动/瑜伽/健身/球迷用品>冰球/速滑/冰上运动>冰上运动配件区,50010728>50040549>50040560
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动/瑜伽/健身/球迷用品>冰球/速滑/冰上运动>更多冰上运动,50010728>50040549>50040571
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动用品/瑜伽/球类/健身>轮滑/滑板运动>滑板,50043669>50106606>50106610
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动/瑜伽/健身/球迷用品>轮滑/滑板/极限运动>滑板,50010728>50037900>50037902
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动/瑜伽/健身/球迷用品>轮滑/滑板/极限运动>轮滑桩,50010728>50037900>50037965
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动/瑜伽/健身/球迷用品>轮滑/滑板/极限运动>轮滑包,50010728>50037900>50037964
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动/瑜伽/健身/球迷用品>轮滑/滑板/极限运动>滑板包,50010728>50037900>50037996
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动/瑜伽/健身/球迷用品>轮滑/滑板/极限运动>滑板桥,50010728>50037900>50037970
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动/瑜伽/健身/球迷用品>轮滑/滑板/极限运动>滑板轮子,50010728>50037900>50037966
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动/瑜伽/健身/球迷用品>轮滑/滑板/极限运动>轮滑鞋套,50010728>50037900>50037973
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动用品/瑜伽/球类/健身>轮滑/滑板运动>风火轮,50043669>50106606>50106614
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动用品/瑜伽/球类/健身>轮滑/滑板运动>Decathlon/迪卡侬,50043669>50106606>56240008
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动用品/瑜伽/球类/健身>轮滑/滑板运动>直排轮,50043669>50106606>50106609
运动户外>体育用品>轮滑滑板,1318>1466>12122,运动用品/瑜伽/球类/健身>轮滑/滑板运动>双排轮,50043669>50106606>50106615
